12305	56046
5918 5918 0.38200059898173105
5918 5919 0.012987012987012986
5918 1724 0.012987012987012986
5918 3010 0.02857142857142857
5920 5920 0.16666666666666666
5920 5921 0.16666666666666666
5920 1685 0.023809523809523808
5920 5922 0.16666666666666666
5920 4031 0.16666666666666666
5920 5923 0.16666666666666666
5924 5924 0.5
5924 5925 0.05555555555555555
5926 5926 0.5
2756 2756 0.20749908259487734
2756 651 0.011363636363636364
2756 2758 0.011363636363636364
5927 5927 0.5
5927 5928 0.5
2363 2363 0.38095238095238093
2363 3614 0.14285714285714285
2363 3612 0.14285714285714285
2363 1718 0.047619047619047616
2363 3893 0.047619047619047616
2363 3613 0.14285714285714285
2363 4132 0.010989010989010988
5929 5929 0.25
5929 930 0.0625
5929 5930 0.25
4759 4759 0.19642857142857142
5931 5931 0.9047619047619048
5931 5932 0.3333333333333333
5933 5933 0.29166666666666663
5933 5934 0.25
5933 5935 0.0625
5933 1414 0.05555555555555555
5933 2975 0.125
5933 1415 0.3333333333333333
5936 5936 0.5
1761 1761 0.6249999999999999
1761 5937 0.3333333333333333
1761 5938 0.041666666666666664
1761 5939 0.3333333333333333
1761 1184 0.015723270440251572
1761 5940 0.16666666666666666
1761 5941 0.3333333333333333
1761 3555 0.041666666666666664
5942 5942 0.07692307692307693
5942 2036 0.019230769230769232
5942 5943 0.07692307692307693
5942 5944 0.07692307692307693
5942 5945 0.07692307692307693
5942 5946 0.07692307692307693
5942 5947 0.07692307692307693
5948 5948 0.6000744047619048
5948 5949 0.041666666666666664
5948 1716 0.011363636363636364
5948 5950 0.027777777777777776
5948 5951 0.14285714285714285
5948 5952 0.3333333333333333
5948 5953 0.25
5948 5954 0.0625
5948 5955 0.25
5948 2600 0.125
5948 5956 0.3333333333333333
5948 5957 0.03571428571428571
5948 4160 0.0625
5948 5958 0.047619047619047616
5948 4089 0.020833333333333332
5948 3306 0.0125
5948 5959 0.16666666666666666
5948 5960 0.14285714285714285
5948 5961 0.125
5948 5962 0.3333333333333333
5948 5963 0.14285714285714285
5948 5964 0.14285714285714285
5948 5707 0.0625
5965 5965 0.08333333333333333
5965 5966 0.08333333333333333
5965 1318 0.011904761904761904
5965 5967 0.08333333333333333
5965 5968 0.08333333333333333
5965 3879 0.013888888888888888
5965 611 0.020833333333333332
5965 4047 0.08333333333333333
5969 5969 1.0
5970 5970 0.16666666666666666
5970 5971 0.023809523809523808
5970 5972 0.16666666666666666
5970 5973 0.16666666666666666
5970 5974 0.16666666666666666
5975 5975 0.25
5975 3380 0.015625
5975 5976 0.05
5977 5977 0.5
330 330 0.49499999999999994
330 174 0.05128205128205128
330 4835 0.1
330 5978 0.04
330 1971 0.3333333333333333
330 337 0.2
330 5979 0.25
330 1123 0.028571428571428574
330 5980 0.013888888888888888
330 1102 0.07142857142857142
330 139 0.03333333333333333
330 5981 0.2
330 3346 0.1
330 5982 0.013888888888888888
330 3950 0.125
330 5983 0.5
330 2241 0.2
330 59 0.014285714285714285
330 3698 0.2
330 5984 0.25
330 5985 0.08333333333333333
330 120 0.015151515151515152
5986 5986 0.08333333333333333
5986 5987 0.08333333333333333
5986 5457 0.027777777777777776
5986 5988 0.08333333333333333
5986 5989 0.08333333333333333
5986 5990 0.08333333333333333
5986 5991 0.08333333333333333
5986 5992 0.041666666666666664
5986 5993 0.08333333333333333
5994 5994 0.14285714285714285
5994 5995 0.14285714285714285
5994 5996 0.023809523809523808
5997 5997 0.5
5998 5998 1.0
5999 5999 0.125
5999 6000 0.125
5999 6001 0.125
5999 6002 0.0625
5999 6003 0.125
5999 6004 0.125
5999 6005 0.125
174 330 0.06666666666666667
174 174 0.5026098901098902
174 6006 0.3333333333333333
174 28 0.025
174 6007 0.03125
174 5655 0.02
174 1680 0.10416666666666666
174 784 0.020833333333333332
174 6008 0.3333333333333333
174 2245 0.03333333333333333
174 1110 0.016666666666666666
174 1596 0.011067708333333332
174 614 0.020833333333333332
174 6009 0.1111111111111111
174 4733 0.25
174 27 0.010526315789473684
174 2601 0.015873015873015872
174 1639 0.016666666666666666
174 2595 0.02
174 59 0.023809523809523808
174 4755 0.025
174 6010 0.125
174 334 0.022727272727272728
174 2342 0.019230769230769232
174 5693 0.25
174 6011 0.3333333333333333
6012 6012 0.2333333333333333
6012 6013 0.022222222222222223
6012 3042 0.038461538461538464
6012 1912 0.05
6012 6014 0.25
6015 6015 1.0
5785 5785 0.5625
6016 6016 1.0
3711 3711 0.4078542453457113
3711 6017 0.5
3711 6018 0.03333333333333333
3711 6019 0.03125
3711 3797 0.013888888888888888
3711 6020 0.0625
3711 5374 0.09090909090909091
3711 3399 0.045454545454545456
3711 6021 0.0625
3711 6022 0.019230769230769232
3711 6023 0.09090909090909091
3711 2873 0.04
3711 150 0.013888888888888888
3711 471 0.01818181818181818
3711 145 0.012987012987012988
3711 5185 0.02631578947368421
3711 240 0.017241379310344827
3711 1088 0.05555555555555555
3711 2661 0.02
3711 3799 0.05555555555555555
3711 1839 0.02222222222222222
3711 741 0.03125
3711 3798 0.1111111111111111
3711 6024 0.030303030303030304
3711 3796 0.1111111111111111
3711 6025 0.09090909090909091
3711 2990 0.022727272727272728
3711 5885 0.011111111111111112
3711 6026 0.045454545454545456
3711 615 0.028571428571428574
4765 4765 0.33999999999999997
4765 6027 0.25
4765 6028 0.5
4765 5013 0.03125
4765 6029 0.011904761904761904
4765 6030 0.2
4765 6031 0.25
4765 6032 0.1
4765 4224 0.022727272727272728
4765 6033 0.25
2351 2351 0.22769230769230772
2351 6034 0.2
2351 6035 0.020833333333333332
2351 1813 0.0125
2351 6036 0.08333333333333333
2351 447 0.011764705882352941
2351 434 0.02
2351 6037 0.0125
2351 6038 0.025
2351 123 0.016531165311653117
2351 4056 0.03538461538461539
2351 1036 0.025
2351 1960 0.02
2351 5655 0.015384615384615385
2351 6039 0.03125
2351 796 0.025
2351 86 0.014238310708898944
2351 139 0.020833333333333332
2351 5721 0.08333333333333333
2351 6040 0.16666666666666666
2351 6041 0.125
2351 2883 0.041666666666666664
2351 1267 0.013888888888888888
2351 1527 0.016666666666666666
2351 4136 0.03125
2351 73 0.011363636363636364
2351 2085 0.01515151515151515
2351 1821 0.015384615384615385
2351 6042 0.16666666666666666
2351 3905 0.011904761904761904
2351 2880 0.027777777777777776
2351 6043 0.2
2351 71 0.023809523809523808
2351 59 0.010476190476190477
2351 413 0.03333333333333333
2351 1887 0.041666666666666664
2351 6044 0.2
2351 6045 0.0625
2351 223 0.041666666666666664
2351 6046 0.125
5256 5256 0.5
5256 6047 0.5
6048 6048 1.0
629 629 0.7805555555555554
629 6049 0.25
