股票代码,stock_short,company_name,regno_or_creditcode,type,更新时间
838127,田园婆婆,田园婆婆（北京）食品股份有限公司,91110116596003332A,北京,
838128,汉信光电,浙江汉信光电股份有限公司,91330185685848118X,浙江,
838129,同步新科,成都同步新创科技股份有限公司,91510100080609165T,四川,
838130,明学光电,深圳市明学光电股份有限公司,914403007787741625,深圳,
838131,嘉运达,北京嘉运达科技开发股份有限公司,911101086336126136,北京,
838132,明世国际,上海明世国际货物运输代理股份有限公司,91310000694186566C,上海,
838133,康能电气,四川康能电气股份有限公司,91510181693656386F,四川,
838134,兴昌新材,丽水兴昌新材料科技股份有限公司,91331100739931807U,浙江,
838135,欧仕股份,福建欧仕儿童用品股份有限公司,91350625793781838P,福建,
838136,索信达,深圳索信达数据技术股份有限公司,9144030076045948X5,广东,
838137,太平盛世,北京太平盛世文化传播股份有限公司,91110113782512691C,北京,
838138,华源医疗,江苏华源医疗科技股份有限公司,91320981699396503M,江苏,
838139,万齐农业,宁夏万齐农业股份有限公司,91640500564114732C,宁夏,
838140,伟才教育,广东伟才教育科技股份有限公司,91440101728211644E,广东,
838141,中新正大,广西中新正大国际旅游股份有限公司,91450100566761589T,广西,
838142,鸿英股份,陕西鸿英项目管理股份有限公司,610000100204566 ,陕西,
838145,普方立民,深圳市普方立民科技股份有限公司,914403006894440491,深圳,
838146,福百盛,广东福百盛股份有限公司,91440000729212518U,广东,
838149,佳和高科,河南佳和高科电气设备股份有限公司,91411000660934001X,河南,
838150,历康科技,广州历康信息科技股份有限公司,440106000171806 ,广东,
838151,迈威科技,深圳市迈威科技股份有限公司,91440300766385880Y,深圳,
838152,北漠股份,上海北漠景观幕墙科技股份有限公司,913101126607038609,上海,
838155,合众慧能,北京合众慧能科技股份有限公司,91110108665648055K,北京,
838156,金旭股份,辽宁金旭特种玻璃科技股份有限公司,91210800584159778J,辽宁,
838157,华光光电,山东华光光电子股份有限公司,91370100863130396A,山东,
838158,茗皇天然,浙江茗皇天然食品开发股份有限公司,913308257291134056,浙江,
838159,创元股份,创元网络技术股份有限公司,91410100716715482H,河南,
838160,蓝兴环保,江苏蓝兴化工环保股份有限公司,913202007274236021,江苏,
838162,祥龙股份,苏州祥龙嘉业电子科技股份有限公司,91320509778018711Q,江苏,
838163,方大股份,河北方大包装股份有限公司,9113010075026091X7,河北,
838164,宏瑞新材,深圳宏瑞新材料股份有限公司,91440300584089298W,广东,
838165,中意股份,中意恒信扬州科技股份有限公司,913210810710205787,江苏,
838166,阿普奇,成都阿普奇科技股份有限公司,915101086936631054,四川,
838167,慧源书城,江苏慧源书城股份有限公司,913206210662385568,江苏,
838168,快鱼电子,北京快鱼电子股份公司,9111010879671493X5,北京,
838169,博弈科技,浙江博弈科技股份有限公司,913310006952807304,浙江,
838170,合新股份,深圳合新供应链管理股份有限公司,914403007878576727,深圳,
838171,邦德股份,威海邦德散热系统股份有限公司,91371000680666729L,山东,
838172,芯诺科技,山东芯诺电子科技股份有限公司,91370800559937814L,山东,
838173,佳明测控,青岛佳明测控科技股份有限公司,91370200264781429N,山东,
838174,诚骏科技,苏州诚骏科技股份有限公司,91320500782079090N,江苏,
838175,涅浦顿,涅浦顿供应链科技（上海）股份有限公司,91310109772101370F,上海,
838176,耀鸿股份,上海耀鸿科技股份有限公司,91310117694207937Q,上海,
838177,广川股份,江苏广川线缆股份有限公司,913205820782940298,江苏,
838178,都成环保,成都都成环保股份有限公司,915101007774842008,四川,
838179,申达照明,苏州申达洁净照明股份有限公司,9132050960829860X2,江苏,
838180,钢诺新材,钢诺新材料股份有限公司,91130432557685844L,河北,
838181,芯哲科技,上海芯哲微电子科技股份有限公司,913101206624492531,上海,
838182,绿岛救援,武汉绿岛道路救援股份有限公司,91420103717955998B,湖北,
838183,亚创股份,河北亚创天然气股份有限公司,911310005954195717,河北,
838184,九成信息,四川九成信息技术股份有限公司,9151010079492946XP,四川,
838185,西码股份,广州西码展览股份有限公司,914401067733256322,广东,
838186,瑞翼能源,湖南瑞翼能源股份有限公司,914301045702689732,湖南,
838187,华龙智腾,昆明华龙智腾科技股份有限公司,91530100753599935C,云南,
838189,承和润,深圳市承和润文化传播股份有限公司,440301103762047 ,深圳,
838190,天正楦科,北京天正楦科网络技术股份有限公司,911101147351373315,北京,
